"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1338567,1345964,1353548,1420020,1430377,1440729,1525663,1531044,1534937
"Population, total",SP.POP.TOTL,Tunisia,TUN,9995123,10094561,10193798,11032528,11174383,11300284,12262946,12356117,12458223
"Population, total",SP.POP.TOTL,Turkiye,TUR,65072018,65988663,66867327,74223629,75175827,76147624,84147318,84979913,85326000
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,4635094,4698968,4758988,5360811,5458682,5560095,6341855,6430770,6516100
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,19578,20598,21739,30816,32081,33594,45114,45703,46062
"Population, total",SP.POP.TOTL,Tuvalu,TUV,9621,9609,9668,10700,10854,10918,11204,11312,11396
"Population, total",SP.POP.TOTL,Uganda,UGA,24763325,25545090,26354736,33295738,34273295,35273570,45853778,47249585,48582334
"Population, total",SP.POP.TOTL,Ukraine,UKR,48662400,48202470,47812949,45706086,45593342,45489648,43848986,38000000,37000000
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,3454198,3633655,3813443,8575205,8664969,8751847,9365145,9441129,9516871
"Population, total",SP.POP.TOTL,United Kingdom,GBR,59119673,59370479,59647577,63258810,63700215,64128273,67026292,67791000,68350000
"Population, total",SP.POP.TOTL,United States,USA,284968955,287625193,290107933,311583481,313877662,316059947,332048977,333271411,334914895
"Population, total",SP.POP.TOTL,Uruguay,URY,3300939,3306441,3310202,3361637,3371133,3381180,3426260,3422794,3423108
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,24964450,25271850,25567650,29339400,29774500,30243200,34915100,35648100,36412350
"Population, total",SP.POP.TOTL,Vanuatu,VUT,197034,202125,207258,251294,257313,263534,319137,326740,334506
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,24880203,25330929,25782029,29096159,29470426,29838021,28199867,28301696,28838499
"Population, total",SP.POP.TOTL,Viet Nam,VNM,79817777,80642308,81475825,88349117,89301326,90267739,97468029,98186856,98858950
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,108549,108509,108505,108290,108188,108041,105870,105413,104917
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,2997784,3075373,3154969,3882986,3979998,4076708,4922749,5043612,5165775
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,19143457,19660653,20188799,25475610,26223391,26984002,32981641,33696614,34449825
"Population, total",SP.POP.TOTL,Zambia,ZMB,10191964,10508294,10837973,14265814,14744658,15234976,19473125,20017675,20569737
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,11910978,11984644,12075828,13025785,13265331,13555422,15993524,16320537,16665409
